Name,Company,Company Website,LinkedIn
Ishpreet Singh Gandhi,Stride Ventures,https://strideventures.in,https://www.linkedin.com/in/ishpreet-singh-gandhi-539893b
Vaibhav Domkundwar,Better Capital,https://bettercapital.vc/,https://www.linkedin.com/in/better
Rahul Chandra,Arkam Ventures,https://arkam.vc,https://www.linkedin.com/in/rahulchandra
Bala Srinivasa,Arkam Ventures,https://arkam.vc,https://www.linkedin.com/in/bala-srinivasa-454646
Ashis Nayak,Shastra VC,https://shastravc.com,https://www.linkedin.com/in/ashisnayak19
Avijeet Alagathi,Shastra VC,https://shastravc.com,https://linkedin.com/in/avialagathi
Suraj Juneja,FreeFlow Ventures,https://freeflowvc.com,https://linkedin.com/in/suraj-juneja-615488a
Aaquib Hussain,FreeFlow Ventures,https://freeflowvc.com,https://linkedin.com/in/aaquibh
Neeraj Arora,Venture Highway,https://venturehighway.vc,https://www.linkedin.com/in/neerajarora
Priya Mohan,Venture Highway,https://venturehighway.vc,https://www.linkedin.com/in/priyamohan246
Manu Chandra,Sauce.vc,https://sauce.vc/,https://www.linkedin.com/in/manuchandra
Ash Lilani,Saama,https://www.saama.com/,https://www.linkedin.com/in/ashlilani
Suresh Shanmugham,Saama,https://www.saama.com/,https://www.linkedin.com/in/sureshshanmugham
Rohini Prakash,Tomorrow Capital,https://tomorrowcapital.vc,https://in.linkedin.com/in/rohini-prakash-472b654
Anand Prasanna,Iron Pillar,https://ironpillar.com,https://www.linkedin.com/in/anand-prasanna-6bb0052
Venkat Vallabhaneni,Inflexor Ventures,https://inflexor.com/,https://www.linkedin.com/in/vallabhanenivenkat
Jatin Desai,Inflexor Ventures,https://inflexor.com/,https://www.linkedin.com/in/jatin-desai-b47b183
Sanjay Nayar,Sorin Investments,https://www.sorininvestments.com/,https://www.linkedin.com/in/sanjay-nayar-bb505136
Jayshree Kanther Patodi,Enzia Ventures,https://enziaventures.com,https://linkedin.com/in/jayshreekanther
Pratekk Agarwaal,GrowthCap Ventures,https://growthcapvc.com,https://www.linkedin.com/in/pratekk
Divyanshi Chowdhary,DeVC,https://devc.in,https://www.linkedin.com/in/deechowdhary
Sasha Mirchandani,Kae Capital,https://kaecapital.com/,https://www.linkedin.com/in/sasha-mirchandani-81a48913
Rehan Yar Khan,Orios Venture Partners,https://oriosventurepartners.com,https://www.linkedin.com/in/rehanyarkhan
Alok Goyal,Stellaris Venture Partners,https://www.stellarisvp.com/,https://www.linkedin.com/in/alok-goyal-536557
Rahul Chowdhri,Stellaris Venture Partners,https://www.stellarisvp.com/,https://www.linkedin.com/in/rahulchowdhri
